Date,Portfolio 1
2019-05-27,0.4660%
2019-05-28,0.2923%
2019-05-29,-0.1859%
2019-05-30,0.2271%
2019-05-31,-0.1863%
2019-06-03,0.2012%
2019-06-04,0.6698%
2019-06-05,0.7514%
2019-06-06,0.9411%
2019-06-07,1.1034%
2019-06-10,1.9724%
2019-06-11,3.1047%
2019-06-12,2.7612%
2019-06-13,2.6712%
2019-06-14,2.3126%
2019-06-17,2.0440%
2019-06-18,2.7002%
2019-06-19,2.4527%
2019-06-20,3.6993%
2019-06-21,3.3231%
2019-06-24,3.3770%
2019-06-25,2.8255%
2019-06-26,3.2803%
2019-06-27,3.9779%
2019-06-28,3.9775%
2019-07-01,5.4189%
2019-07-02,5.8439%
2019-07-03,5.6233%
2019-07-04,5.5395%
2019-07-05,5.3356%
2019-07-08,4.6188%
2019-07-09,4.4985%
2019-07-10,5.7906%
2019-07-11,6.4899%
2019-07-12,6.4084%
2019-07-15,6.1967%
2019-07-16,6.1656%
2019-07-17,5.7678%
2019-07-18,4.9828%
2019-07-19,4.2519%
2019-07-22,3.9989%
2019-07-23,4.5019%
2019-07-24,4.2595%
2019-07-25,5.2553%
2019-07-26,5.2865%
2019-07-29,4.6447%
2019-07-30,4.6733%
2019-07-31,4.4303%
2019-08-01,3.4050%
2019-08-02,2.8376%
2019-08-05,0.8785%
2019-08-06,1.0177%
2019-08-07,1.6998%
2019-08-08,3.4555%
2019-08-09,2.7488%
2019-08-12,2.2498%
2019-08-13,3.5680%
2019-08-14,2.9551%
2019-08-15,2.8516%
2019-08-16,3.5424%
2019-08-19,4.2982%
2019-08-20,3.9494%
2019-08-21,4.1407%
2019-08-22,4.2250%
2019-08-23,3.7506%
2019-08-26,3.7487%
2019-08-27,4.4147%
2019-08-28,4.4376%
2019-08-29,4.9758%
2019-08-30,6.0592%
2019-09-02,6.1959%
2019-09-03,6.2097%
2019-09-04,7.0398%
2019-09-05,7.3893%
2019-09-06,7.7641%
2019-09-09,7.7834%
2019-09-10,7.3123%
2019-09-11,7.1032%
2019-09-12,7.3131%
2019-09-13,7.5040%
2019-09-16,6.9056%
2019-09-17,6.6249%
2019-09-18,7.1359%
2019-09-19,6.9888%
2019-09-20,7.2220%
2019-09-23,6.0431%
2019-09-24,6.1303%
2019-09-25,6.0417%
2019-09-26,6.5418%
2019-09-27,5.8849%
2019-09-30,5.6445%
2019-10-01,4.5171%
2019-10-02,3.8204%
2019-10-03,4.2291%
2019-10-04,4.8081%
2019-10-07,4.6669%
2019-10-08,3.9419%
2019-10-09,4.3720%
2019-10-10,5.0431%
2019-10-11,6.9783%
2019-10-14,7.2616%
2019-10-15,8.5307%
2019-10-16,8.5687%
2019-10-17,8.7337%
2019-10-18,8.3095%
2019-10-21,8.5763%
2019-10-22,8.5250%
2019-10-23,8.1442%
2019-10-24,9.0136%
2019-10-25,9.2160%
2019-10-27,9.2782%
2019-10-28,9.1812%
2019-10-29,9.6438%
2019-10-30,9.6068%
2019-10-31,9.7182%
2019-11-01,10.6169%
2019-11-04,11.7786%
2019-11-05,11.3127%
2019-11-06,11.7621%
2019-11-07,11.8619%
2019-11-08,11.5108%
2019-11-11,10.5385%
2019-11-12,10.3884%
2019-11-13,10.4398%
2019-11-14,10.8143%
2019-11-15,11.2960%
2019-11-18,11.2967%
2019-11-19,11.7803%
2019-11-20,11.7841%
2019-11-21,11.8534%
2019-11-22,12.0012%
2019-11-25,12.0678%
2019-11-26,12.4951%
2019-11-27,12.3844%
2019-11-28,12.2423%
2019-11-29,11.4464%
2019-12-02,11.0298%
2019-12-03,11.1855%
