Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
Abbott Laboratories,ABT,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Equipment & Supplies,Health Care Equipment,US
AbbVie Inc,ABBV,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology,US
Abercrombie & Fitch Co,ANF,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,US
Acadia Healthcare Co Inc,ACHC,Nasdaq,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities,US
Activision Blizzard Inc,ATVI,Nasdaq,Communication Services,Media and Entertainment,Entertainment,Interactive Home Entertainment,US
Adobe Inc,ADBE,Nasdaq,Information Technology,Software and Services,Software,Application Software,US
Advanced Micro Devices,AMD,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
Aemetis Inc,AMTX,Nasdaq,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing,US
Aflac Inc,AFL,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Life and Health Insurance,US
Air Canada,AC.TO,Toronto Stock Exchange,Industrials,Transportation,Airlines,Airlines,Canada
Air Products & Chemicals Inc,APD,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Industrial Gases,US
Alibaba Group Holding Ltd,BABA,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,US
Alimentation Couche-Tard Inc,ATD.TO,Toronto Stock Exchange,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail,Canada
Allstate Corp,ALL,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Property and Casualty Insurance,US
Alphabet Inc,GOOG,Nasdaq,Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,US
Aluminum Corporation of China Ltd,ACH,"New York Stock Exchange, Inc.",Materials,Materials,Metals and Mining,Aluminum,US
Amazon.com Inc,AMZN,Nasdaq,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,US
Ambev SA,ABEV3.SA,B3 S.A.,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Brewers,Brazil
AMC Entertainment Holdings,AMC,"New York Stock Exchange, Inc.",Communication Services,Media and Entertainment,Entertainment,Movies & Entertainment,US
American Airlines Group Inc,AAL,Nasdaq,Industrials,Transportation,Airlines,Airlines,US
